source,instance,COST,TIME,mem_avg,mem_max,mem_lookups
node,"instances/burma14.tsp
",20315.0,0.053,6.19296451394268,11.3515625,1291
node,"instances/dantzig42.tsp
",12528.0,0.544,9.387173448209644,11.61328125,8462
node,"instances/att48.tsp
",209320.0,0.758,11.300155886690492,13.64453125,11612
node,"instances/brg180.tsp
",174750.0,80.385,21.139645553771388,27.8125,1021017
node,"instances/gr229.tsp
",10737723.0,263.599,31.26001633630648,48.06640625,3400411
node,"instances/pr299.tsp
",6556628.0,715.682,37.51151942806659,50.54296875,9414516
node,"instances/si175.tsp
",1808532.0,70.504,19.83503052617188,27.79296875,1061932
node,"instances/rat99.tsp
",57986.0,15.059,18.28030972604204,21.03125,226887
node,"instances/pr152.tsp
",5064566.0,38.304,19.588298661719076,27.046875,585588
