COST,TIME,gap (s),instance,lookups,mem_avg,mem_lookups,mem_max,source
20315.0,0.037980632,1e-10,,762.0,8.527692339238845,,13.6796875,
20315.0,0.047508216,1e-10,,985.0,8.973417671319798,,15.171875,java
20315.0,0.048376549,1e-10,,873.0,9.57655892038946,,15.44921875,java
20315.0,0.046788177,1e-10,,991.0,9.135713609989908,,15.3203125,java
209320.0,0.518601431,1e-10,instances/att48.tsp,3841.0,17.51542770437386,,22.8515625,java
209320.0,0.5666899129999999,1e-10,instances/att48.tsp,4687.0,16.19574254587156,,20.953125,java
209320.0,0.518948847,1e-10,instances/att48.tsp,9363.0,19.747623207705864,,23.05859375,java
209320.0,0.889602853,1e-10,instances/att48.tsp,25949.0,18.601458780926045,,23.0,java
209320.0,0.653607348,1e-10,instances/att48.tsp,11971.0,18.49314880753488,,21.09375,java
209320.0,0.574566322,1e-10,instances/att48.tsp,17368.0,17.9720494407819,,22.7265625,java
209320.0,0.4969946739999999,1e-10,instances/att48.tsp,8374.0,17.59623070665154,,20.85546875,java
209320.0,0.584509456,1e-10,instances/att48.tsp,17523.0,18.33905460858585,,24.171875,java
209320.0,0.53588039,1e-10,instances/att48.tsp,18552.0,20.541986081352416,,23.38671875,java
209320.0,0.699965683,1e-10,instances/att48.tsp,37609.0,17.827855886390225,,22.51953125,java
209320.0,0.510370042,1e-10,instances/att48.tsp,35429.0,21.46553086366395,,25.4375,java
209320.0,0.470029774,1e-10,instances/att48.tsp,45213.0,16.904594468128636,,21.65625,java
209320.0,0.54067888,1e-10,instances/att48.tsp,38765.0,18.834252769089385,,22.28125,java
209320.0,0.5144166370000001,1e-10,instances/att48.tsp,49970.0,17.004785605738444,,22.02734375,java
209665.0,0.420151782,1e-10,instances/att48.tsp,30121.0,20.076116693917864,,23.421875,java
209320.0,0.489565191,1e-10,instances/att48.tsp,45595.0,17.773406400784076,,21.14453125,java
209320.0,0.425593229,1e-10,instances/att48.tsp,33355.0,18.377083879853085,,20.59375,java
209320.0,0.36285401,1e-10,instances/att48.tsp,35016.0,16.367880486777473,,19.84765625,java
209320.0,0.470471642,1e-10,instances/att48.tsp,34432.0,18.24518151265538,,21.3515625,java
209320.0,0.481110391,1e-10,instances/att48.tsp,43176.0,18.913995097826337,,25.90234375,java
209320.0,0.449830589,1e-10,instances/att48.tsp,33053.0,20.904766232452427,,24.51171875,java
209320.0,0.559985142,1e-10,instances/att48.tsp,52152.0,17.41015662450625,,22.42578125,java
209320.0,0.4573706179999999,1e-10,instances/att48.tsp,32986.0,20.34489584596496,,25.05859375,java
209320.0,0.515186823,1e-10,instances/att48.tsp,47458.0,17.213028987473134,,22.65234375,java
209320.0,0.46753453,1e-10,instances/att48.tsp,33840.0,18.868567962285766,,22.51953125,java
209665.0,0.468535701,1e-10,instances/att48.tsp,44558.0,17.232869413180573,,21.16015625,java
209320.0,0.465591685,1e-10,instances/att48.tsp,13429.0,16.950998945844812,,21.92578125,java
209320.0,0.411808899,1e-10,instances/att48.tsp,11745.0,16.994140791294168,,21.84765625,java
209320.0,0.465547397,1e-10,instances/att48.tsp,13351.0,17.147013215302223,,22.48046875,java
209320.0,0.419063159,1e-10,instances/att48.tsp,11667.0,18.322868453758463,,24.8671875,java
209320.0,0.497149176,1e-10,instances/att48.tsp,14303.0,17.731795777109696,,22.703125,java
209320.0,0.570263073,1e-10,instances/att48.tsp,16370.0,17.73454991027795,,22.79296875,java
209320.0,0.46413355,1e-10,instances/att48.tsp,13558.0,17.663300438394305,,23.65234375,java
209320.0,0.434500229,1e-10,instances/att48.tsp,12632.0,17.055983192487332,,22.390625,java
209320.0,0.469300014,1e-10,instances/att48.tsp,33949.0,18.36474956000177,,20.8515625,java
209320.0,0.422017736,1e-10,instances/att48.tsp,42351.0,17.145384978365332,,22.1328125,java
209320.0,0.396969449,1e-10,instances/att48.tsp,29443.0,19.678157000390588,,23.72265625,java
209320.0,0.449801244,1e-10,instances/att48.tsp,42867.0,16.686488331642057,,21.51171875,java
209320.0,0.468136254,1e-10,instances/att48.tsp,37569.0,17.819691143296335,,23.55859375,java
209320.0,0.465543674,1e-10,instances/att48.tsp,44832.0,16.669031833428132,,20.75,java
209320.0,0.596933839,1e-10,instances/att48.tsp,50242.0,17.419159860027467,,20.4921875,java
209320.0,0.399079995,1e-10,instances/att48.tsp,37126.0,16.403712505218717,,21.5234375,java
209320.0,0.492338718,1e-10,instances/att48.tsp,43752.0,17.779712927409033,,22.453125,java
209320.0,0.465420483,1e-10,instances/att48.tsp,40852.0,18.38701909101757,,24.2421875,java
209320.0,0.497704694,1e-10,instances/att48.tsp,48079.0,17.075747565205184,,22.1484375,java
209320.0,0.510205676,1e-10,instances/att48.tsp,46483.0,16.673553789154102,,21.3203125,java
209320.0,0.4463694529999999,1e-10,instances/att48.tsp,32261.0,17.889284614162616,,20.0,java
209320.0,0.4775836429999999,1e-10,instances/att48.tsp,45337.0,16.84797607707281,,20.96484375,java
209320.0,0.54893726,1e-10,instances/att48.tsp,41120.0,19.159003374270423,,22.28515625,java
209320.0,0.398241473,1e-10,instances/att48.tsp,39271.0,17.13364495667923,,22.5,java
209320.0,0.472837134,1e-10,instances/att48.tsp,31980.0,18.745027165415888,,21.8359375,java
209320.0,0.523520063,1e-10,instances/att48.tsp,42523.0,18.980839872686545,,25.69140625,java
209320.0,0.400887419,1e-10,instances/att48.tsp,29003.0,19.451116048339827,,22.94921875,java
209320.0,0.396920557,1e-10,instances/att48.tsp,38866.0,17.348375065931663,,23.65625,java
209320.0,0.46256224,1e-10,instances/att48.tsp,32690.0,19.43494928686143,,22.7578125,java
209320.0,0.461774687,1e-10,instances/att48.tsp,42550.0,17.934577060076382,,23.18359375,java
209320.0,0.419983037,,instances/att48.tsp,28171.0,21.36404999267864,,25.20703125,java
209320.0,0.442737592,,instances/att48.tsp,41057.0,18.48838657232628,,23.19140625,java
209320.0,0.452498083,,instances/att48.tsp,,19.67808378902427,30654.0,23.0078125,java
209320.0,0.4820252539999999,,instances/att48.tsp,,17.209408310432057,45758.0,22.30078125,java
209320.0,0.461628302,,instances/att48.tsp,,18.393902872556588,34327.0,20.68359375,java
209320.0,0.470772104,,instances/att48.tsp,,16.718507800904902,45143.0,22.19921875,java
20315.0,0.036764023,,instances/burma14.tsp,,11.31323141243355,3386.0,21.2109375,java
